,house_links,house_type,house_price,address,area,bedrooms,parking_space,latitude,longitude
495,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-3-quartos-292m2/x4q6cx,Apartamento,3197000,"Alameda Jaú, Jardim América",292,3,2,-23.5581896,-46.6641969
496,https://loft.com.br/imovel/apartamento-rua-augusta-jardim-america-sao-paulo-3-quartos-127m2/zapr6m,Apartamento,950000,"R. Augusta, Jardim América",127,3,0,-23.5658818,-46.6679124
497,https://loft.com.br/imovel/apartamento-rua-padre-joao-manuel-jardim-america-sao-paulo-3-quartos-396m2/1omhdhc,Apartamento,9500000,"R. Padre João Manuel, Jardim América",396,3,6,-23.5634546,-46.6637811
498,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-107m2/1872uga,Apartamento,1800000,"R. da Consolação, Jardim América",107,3,1,-23.5575139,-46.6651038
499,https://loft.com.br/imovel/apartamento-rua-haddock-lobo-jardim-america-sao-paulo-1-quarto-42m2/1v2kg35,Conjugado,860000,"R. Haddock Lobo, Jardim América",42,1,1,-23.5598361,-46.6634918
500,https://loft.com.br/imovel/apartamento-rua-da-consolacao-jardim-america-sao-paulo-3-quartos-110m2/bgieu3,Apartamento,1600000,"R. da Consolação, Jardim América",110,3,1,-23.5585341,-46.6662041
501,https://loft.com.br/imovel/apartamento-alameda-jau-jardim-america-sao-paulo-1-quarto-45m2/184sh57,Apartamento,636000,"Alameda Jaú, Jardim América",45,1,1,-23.559149,-46.6621006
502,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-187m2/18tvxoz,Apartamento,2668000,"R. Peixoto Gomide, Jardim América",187,3,1,-23.5620402,-46.6583852
503,https://loft.com.br/imovel/apartamento-alameda-santos-jardim-america-sao-paulo-3-quartos-200m2/190yh6j,Apartamento,1800000,"Alameda Santos, Jardim América",200,3,2,-23.5601919,-46.6599329
504,https://loft.com.br/imovel/apartamento-alameda-franca-jardim-america-sao-paulo-3-quartos-185m2/1abs0p0,Apartamento,2381001,"Alameda Franca, Jardim América",185,3,1,-23.5634523,-46.6617864
505,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-3-quartos-226m2/1c4t86h,Apartamento,7475160,"R. Peixoto Gomide, Jardim América",226,3,4,-23.56459999,-46.66077003
506,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-297m2/1dep6t5,Apartamento,3900000,"Alameda Itu, Jardim América",297,3,3,-23.5595957,-46.6641754
507,https://loft.com.br/imovel/apartamento-rua-melo-alves-jardim-america-sao-paulo-4-quartos-260m2/1elrjtd,Apartamento,4700000,"R. Melo Alves, Jardim América",260,4,5,-23.5618009,-46.6717125
508,https://loft.com.br/imovel/apartamento-rua-peixoto-gomide-jardim-america-sao-paulo-2-quartos-131m2/1faay05,Apartamento,1900000,"R. Peixoto Gomide, Jardim América",131,2,1,-23.5649327,-46.6613882
509,https://loft.com.br/imovel/apartamento-alameda-itu-jardim-america-sao-paulo-3-quartos-175m2/1ksezxi,Apartamento,1952240,"Alameda Itu, Jardim América",175,3,1,-23.5596971,-46.6643284
510,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-1-quarto-66m2/1l2h8y1,Apartamento,1510000,"R. José Maria Lisboa, Jardim América",66,1,1,-23.5658172,-46.6603051
511,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-150m2/1lgmmb4,Apartamento,2070000,"R. José Maria Lisboa, Jardim América",150,3,1,-23.5655491,-46.660875
